GivenName,Surname,Birthday
Florismart,Généreux,4/1/1997
Arienne,L'Heureux,1/25/1998
Malagigi,Bourgouin,6/4/1999
Alita,Auclair,10/25/1999
Pauline,Parent,6/15/1997
Aymon,Lajoie,3/25/1995
Romain,Norbert,10/4/1995
Aleron,Bélanger,9/30/1997
Sidney,Bédard,3/30/1996
Didier,Sevier,10/13/2003
Harbin,Rocheleau,6/13/1996
Erembourg,Laramée,7/6/1995
Dixie,Aucoin,4/6/2001
Azura,Pariseau,8/8/1995
Mayhew,Jodion,3/17/2000
Roland,Bouvier,8/1/1997
Tabor,Lépicier,1/2/2001
Zara,Fortier,6/12/1996
Arnou,Chastain,8/28/2003
Ansel,Grignon,3/14/1999
Pascal,Faubert,12/29/2002
Jessamine,Martel,11/30/2001
Auguste,Noël,8/18/2002
Cammile,Dodier,9/4/2002
Archaimbau,Deslauriers,7/30/2004
Avice,Durepos,9/16/1998
Yolette,Laisné,4/24/2002
Claudette,Dostie,8/20/1995
Geoffrey,Monrency,3/30/2001
Frédéric,Jodion,11/25/1996
Valérie,Bonsaint,12/11/2002
Moore,Michel,5/22/1998
Ruby,Gadbois,8/3/2000
Javier,L'Hiver,10/6/2000
Gifford,Mazuret,2/13/1999
Tempeste,LaGarde,8/1/1997
Florismart,Garceau,12/14/2001
Blondelle,Ricard,3/23/1998
Benoît,Joly,3/19/2000
Maslin,Turgeon,6/3/1997
Arthur,Jacques,9/9/2001
David,Fournier,4/9/1999
Harbin,Racicot,11/10/2000
Brigliador,Bondy,12/10/1999
Noémi,Duplanty,12/15/1999
Lance,Charpentier,9/13/1997
Xarles,Brian,2/21/2002
Slainie,Flamand,5/10/1995
Victoire,Begin,5/3/1995
Brigliador,Chassé,10/25/2001
Legget,Bazin,11/4/1998
Pierre,Camus,2/25/2003
Amitee,Potvin,10/13/1997
Vernon,Babin,1/27/2001
Gustave,Dagenais,9/4/2003
Diane,Querry,9/2/2002
Searlas,Barjavel,9/27/1999
Carine,Cormier,12/13/1999
Francis,Petrie,1/12/2001
Mandel,Cressac,8/8/2001
Anne,Rocher,8/1/2004
Zacharie,Auclair,11/14/2004
Liane,Beaudry,7/17/1998
Raymond,Chauvin,7/19/1995
Searlas,Dastous,7/13/2003
Claude,Hervieux,9/29/1998
Pensee,Pouliotte,12/13/1997
Richard,Sorel,3/16/2004
Roland,Durand,6/3/1997
Fleur,Pitre,6/25/1998
Orane,Deslauriers,2/21/2001
Fifine,Carrière,7/2/2001
Christien,Dubé,2/6/1999
Arianne,Larivière,10/25/2000
Normand,Vaillancour,10/16/2004
Kerman,Ricard,9/10/2000
Roland,Lemieux,10/23/1998
Forrest,Déziel,10/20/2002
Falerina,Lanoie,1/16/1995
Victorine,Fortin,3/27/1999
Fitz,Duffet,9/3/1999
Pauline,Lamothe,10/28/2004
Luc,Jacques,8/7/2003
Chappell,Pépin,9/16/1995
Loyal,Berger,1/27/2003
Marmion,Daviau,1/29/1998
Villette,Petit,4/12/1998
Matthieu,Rouze,6/22/1995
Arnou,Cousteau,12/16/1998
Maryse,Noël,11/5/2001
Claude,Vertefeuille,8/17/2002
Dalmace,Arcouet,12/2/2000
Marie,Bélanger,5/5/1996
Catherine,Aubé,4/21/2003
Parnella,Garcia,6/21/2004
Scoville,Lereau,1/13/1998
Marcel,Boulé,12/26/2000
Édith,Roy,3/6/1996
Garland,Dennis,8/14/1998
Lotye,Cadieux,11/27/1999
Geneviève,Faucher,1/23/1996
Royce,Lafond,4/30/1996
Belisarda,Franchet,6/19/1998
Felicien,Batard,4/28/2003
Matilda,Franchet,10/22/1998
Andrée,Plourde,6/18/1998
Parnella,Duclos,6/14/2002
Zerbino,Caisse,4/25/1999
Henry,Roussel,7/23/2002
Madeleine,Monty,3/24/1997
Manon,Crête,9/29/1996
Brunella,Therriault,1/18/2000
Auguste,Boisvert,1/8/1999
Azura,Favreau,4/15/1999
Noelle,Ouellet,8/27/2004
Florismart,Fournier,12/20/1996
Frontino,Duhamel,3/21/1998
Emmeline,Bergeron,1/14/1999
Voleta,LaCaille,10/8/2001
Zerbino,Vachon,1/8/2002
Clovis,Clavet,2/4/1998
Geoffrey,Duval,5/25/1997
Sydney,Desroches,12/2/1999
Vignette,Bousquet,3/21/1996
Geneviève,Provencher,12/7/2002
Aloin,Lapresse,6/10/1999
Falerina,Gaillard,1/16/2002
Bartlett,Mathieu,6/15/2000
Telford,Barteaux,3/22/1995
Odo,Bousquet,3/14/2004
Merle,Boileau,5/24/2003
Saber,Verreau,6/26/1998
Alacoque,LaGarde,4/20/2001
Hortense,Chouinard,3/25/2001
Madeleine,Mireault,12/23/1999
Julie,Sanschagrin,3/6/2001
Jewel,Brian,7/28/2001
Prewitt,Bouvier,12/7/1998
Stéphanie,Rouleau,8/30/1998
Raoul,Cuillerier,10/23/1999
Orson,Chaussée,12/4/1998
Mayhew,Langlois,1/20/2004
Olivier,Grimard,10/23/1996
Eustache,Caron,2/21/1995
Jesper,Ouellet,6/7/1996
Charmaine,Sirois,2/18/1999
Genevre,Fortier,3/22/1996
Langley,Louis,8/17/2002
Lucas,Bolduc,10/18/2002
Adélaïde,Auberjonois,12/9/1995
Agrican,Lebrun,3/27/1996
Georges,Racicot,5/24/1998
Huon,Achin,6/7/2001
Cinderella,Rivière,8/10/2001
Peverell,Charpie,4/5/2002
Thiery,Soucy,9/6/1996
Esmeraude,Lauzier,11/9/2001
Isaac,Lapierre,11/19/2004
Eugène,Larocque,7/16/1997
Eugène,Boncoeur,11/22/2001
Amélie,Quinn,8/28/2003
Adélaïde,Laframboise,3/11/1995
Laurette,Bourget,10/15/2002
Yvette,Bonneville,9/15/2002
Tearlach,Lamy,10/15/2001
Dorothée,Truchon,12/28/1999
Francis,Rouze,4/25/1999
Varden,Voisine,11/6/1995
Agathe,Benoit,12/21/1994
Rémy,Michaud,2/6/2000
Evrard,Masson,10/3/1996
Françoise,Lapointe,5/3/1997
Noémi,Leroy,4/15/2002
Trinette,Barrière,10/31/2000
Nicole,Mercier,4/6/1996
Royce,Bussière,11/21/2001
Travers,Dastous,5/5/1998
Zacharie,Mailloux,5/3/2002
Mariette,Garnier,10/26/1997
